m,fraction,no_edges,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,min_uncertainty,max_uncertainty,centrality_metric,mean_se_value,min_se_value,max_se_value
10,0.5,16762,9924.812677783852,71.6035185402003,26.283755864186347,46.21314822320884,163.907647532217,degree_centrality,0.2142740923533491,0.11928839857421648,0.29394687182464796
10,0.5,16762,9924.812677783852,71.6035185402003,26.283755864186347,46.21314822320884,163.907647532217,closeness_centrality,0.046369627763685584,0.021394582633579694,0.08675232716233092
10,0.5,16762,9924.812677783852,71.6035185402003,26.283755864186347,46.21314822320884,163.907647532217,betweenness_centrality,6.365589763650156e-05,2.3989423501644743e-10,0.0029612749007909014
10,0.5,16762,9924.812677783852,71.6035185402003,26.283755864186347,46.21314822320884,163.907647532217,eigenvector_centrality,0.0010844103503248276,9.052696745213601e-08,0.020779997355599898
10,0.55,18199,10231.174413234294,73.93892180838837,27.458932808644068,47.33373168349801,171.3551837273565,degree_centrality,0.25912098191964633,0.1425138304220899,0.34852663666715056
10,0.55,18199,10231.174413234294,73.93892180838837,27.458932808644068,47.33373168349801,171.3551837273565,closeness_centrality,0.05643231023759941,0.024857772068661296,0.10006964300288977
10,0.55,18199,10231.174413234294,73.93892180838837,27.458932808644068,47.33373168349801,171.3551837273565,betweenness_centrality,6.549369491443575e-05,2.7944302803026347e-10,0.003012723768973782
10,0.55,18199,10231.174413234294,73.93892180838837,27.458932808644068,47.33373168349801,171.3551837273565,eigenvector_centrality,0.0011217080318147775,4.1755144617024115e-09,0.021579255260344293
10,0.6,19635,10512.392292152825,76.14755229810442,28.764979116512304,48.92027149592974,178.3478034736907,degree_centrality,0.30820612570765016,0.1612877211657876,0.4180739020338381
10,0.6,19635,10512.392292152825,76.14755229810442,28.764979116512304,48.92027149592974,178.3478034736907,closeness_centrality,0.06827179329149556,0.033514197298269384,0.1152990947405379
10,0.6,19635,10512.392292152825,76.14755229810442,28.764979116512304,48.92027149592974,178.3478034736907,betweenness_centrality,6.709115295525194e-05,6.125433660364771e-11,0.003055606191625144
10,0.6,19635,10512.392292152825,76.14755229810442,28.764979116512304,48.92027149592974,178.3478034736907,eigenvector_centrality,0.001143176973624651,8.078444476793514e-08,0.022297821020307012
10,0.65,21071,10772.447870898373,78.14191319277276,29.781353617305008,49.855117144435965,185.7373528446874,degree_centrality,0.36159042596087154,0.1711101433847841,0.4606538604216061
10,0.65,21071,10772.447870898373,78.14191319277276,29.781353617305008,49.855117144435965,185.7373528446874,closeness_centrality,0.08217586561721368,0.03836557729504704,0.12774638859000478
10,0.65,21071,10772.447870898373,78.14191319277276,29.781353617305008,49.855117144435965,185.7373528446874,betweenness_centrality,6.879661488455265e-05,1.904321011318244e-10,0.0030930939282038474
