fraction,number_of_edges,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,min_uncertainty,max_uncertainty,mean_degree_centrality,mean_closeness_centrality
0.71,360329,109812.64519003418,204.23076331108473,95.50945298044762,126.91780392395567,697.2015958343608,0.7213793793793793,0.7822173582735162
0.72,365128,110197.24792825778,204.98554070993882,96.02308630738325,127.425919186804,698.254536191496,0.7309869869869869,0.7881385889675079
0.73,369927,110576.68837901505,205.7254560622198,96.52301087054579,127.509741831008,700.872925266178,0.7405945945945946,0.7941482968079029
0.74,374726,110951.10332264879,206.46452577091927,97.04545611947971,127.84261815104335,702.9534361427759,0.7502022022022022,0.8002522149501932
0.75,379525,111320.62417301703,207.18260838955663,97.4915389651347,128.33484057298548,704.5056361401523,0.7598098098098098,0.8064485678328792
0.76,384324,111685.37725467035,207.9072704252405,98.02311317224543,128.73870693427415,709.1208233456094,0.7694174174174174,0.8127443514870472
0.77,389123,112045.48406235871,208.62355626440603,98.56530086540283,129.3733599060371,712.6682730325683,0.779025025025025,0.8191362738508613
0.78,393922,112401.06150420145,209.33170332761816,99.07501481270654,129.76304375901057,717.176420905951,0.7886326326326326,0.8256287372295709
0.79,398721,112752.22212974084,210.0295147650327,99.57358100317857,130.2238216131677,721.6265340488723,0.7982402402402402,0.8322270570014236
0.8,403520,113099.07434399225,210.71611368351142,100.0563504655544,130.56463919773842,726.9889162423527,0.8078478478478478,0.8389319996981477
0.81,408319,113441.72260851103,211.3917374655247,100.53007575364526,130.93866274856143,730.8372649109161,0.8174554554554555,0.8457466931494865
0.82,413118,113780.26763040971,212.05715886191575,100.99349250930744,131.45428144105898,733.6956904443508,0.8270630630630631,0.8526699679529242
0.83,417917,114114.80654018218,212.7220800193423,101.4757772521975,131.85304352518983,737.0009459067893,0.8366706706706707,0.8597060160995326
0.84,422716,114445.43305912087,213.36904691004028,101.90001176631452,132.13962941575195,740.2749310824072,0.8462782782782783,0.8668605069874428
0.85,427515,114772.23765704967,214.01374220158672,102.35046227824957,132.564240540732,743.0567640689785,0.8558858858858859,0.8741358527717223
0.86,432314,115095.30770103709,214.65385774228002,102.80326466232896,132.8090749476715,748.0994479992185,0.8654934934934935,0.8815297858681468
0.87,437113,115414.7275957019,215.28127730455768,103.24725014342941,133.08636510827432,751.2706072984802,0.8751011011011011,0.8890535544811462
0.88,441912,115730.57891567521,215.9047220662159,103.68731396418801,133.53135407426922,756.1959205875895,0.8847087087087087,0.8967046596127947
0.89,446711,116042.94053073946,216.51790193595934,104.1105229386653,133.80182089790105,757.969719859129,0.8943163163163164,0.904490932734086
0.9,451510,116351.88872412496,217.12573983699858,104.5382323006118,134.10309594255642,760.6135041995778,0.903923923923924,0.9124134189218318
0.91,456309,116657.49730440823,217.73374350336496,104.99183339136269,134.63104948101298,763.2372663968238,0.9135315315315315,0.9204760467274111
0.92,461108,116959.83771142286,218.33116583327975,105.42082480106002,134.9238322447127,767.1360296557526,0.9231391391391391,0.9286837143861464
0.93,465907,117258.97911656355,218.91461114894946,105.80851817624439,135.24569943780315,769.2832048996935,0.9327467467467467,0.9370371141479907
0.94,470706,117554.98851783552,219.50223332174522,106.22336474479984,135.50063270096751,772.2670763661743,0.9423543543543543,0.9455432169746721
0.95,475505,117847.93082997657,220.08392864289328,106.6372311771093,135.94141661810488,774.8043941176553,0.9519619619619619,0.9542043915932066
0.96,480304,118137.86896995515,220.65975992342229,107.04964540175105,136.3139448014981,777.3232753313354,0.9615695695695695,0.9630245811778498
0.97,485103,118424.86393812617,221.23161987487686,107.46469987178693,136.7729414343626,781.8942252768333,0.9711771771771772,0.9720107754249798
0.98,489902,118708.97489530647,221.7875094557827,107.84017530979253,137.0749321737799,784.7719491563316,0.9807847847847848,0.9811657922220659
0.99,494701,118990.25923601413,222.34471615598247,108.22884946655357,137.40351152100388,787.6259901569734,0.9903923923923924,0.990493587427084
1.0,499500,119268.77265809801,222.90105764976363,108.64410138767387,137.93324407448992,792.8648403227563,1.0,1.0
